building,point,view
woodbine,1432,1
lindenwood,2127,5
stockman,548,0
hanson,698,10
klickitat,1052,4
tolstoy,1108,9
pinesdale,1253,1
hanson,1189,1
coffeen,193,0
forkland,946,1
stockman,249,0
lakeville,152,6
ranchester,10,1
ranchester,820,0
marstons,1032,3
coffeen,1242,2
allensville,423,1
cosmos,697,6
wainscott,1020,2
leonardo,112,7
wainscott,1540,1
marstons,1737,6
marstons,1894,5
mifflinburg,897,10
leonardo,2036,3
tolstoy,822,1
leonardo,861,10
cosmos,89,10
ranchester,1554,6
hiteman,556,3
newfields,175,11
ranchester,1426,9
leonardo,1691,7
leonardo,725,2
pomaria,1459,10
ranchester,110,0
forkland,388,3
lindenwood,937,8
wainscott,1300,8
leonardo,1876,8
merom,324,1
shelbyville,1443,7
tolstoy,1366,14
shelbyville,2504,2
klickitat,966,6
merom,491,3
forkland,374,0
lakeville,350,8
shelbyville,35,7
forkland,488,5
wainscott,192,9
hiteman,951,0
klickitat,454,0
shelbyville,2805,1
mifflinburg,461,1
forkland,673,0
wainscott,1451,7
hiteman,1562,0
shelbyville,1102,0
woodbine,506,4
marstons,1067,8
merom,392,4
lakeville,566,4
coffeen,433,2
klickitat,1472,1
woodbine,799,9
hanson,689,1
woodbine,1074,2
lindenwood,2174,3
marstons,2425,5
shelbyville,893,7
hanson,1229,0
coffeen,1151,1
mifflinburg,663,3
klickitat,921,2
klickitat,1806,2
benevolence,7,11
marstons,535,8
cosmos,973,8
ranchester,746,1
hanson,1364,0
stockman,1475,5
marstons,1217,3
hanson,1536,3
coffeen,1327,2
beechwood,133,3
lindenwood,669,2
lindenwood,2583,3
shelbyville,1852,2
forkland,37,0
lakeville,415,7
pinesdale,616,3
lakeville,1809,18
klickitat,1788,1
lakeville,1716,1
klickitat,1991,0
hiteman,1709,1
forkland,886,2
pinesdale,2,1
wainscott,644,2
cosmos,839,2
lakeville,60,7
pinesdale,195,2
lindenwood,2659,0
lindenwood,1717,4
pomaria,810,4
stockman,1136,1
ranchester,894,3
newfields,1172,0
tolstoy,490,6
hiteman,199,2
marstons,267,8
stockman,75,2
lakeville,1009,3
lakeville,568,13
shelbyville,2025,3
shelbyville,2,2
mifflinburg,699,0
leonardo,716,0
leonardo,1393,0
tolstoy,1431,1
pomaria,1024,1
benevolence,44,6
lakeville,319,4
newfields,1059,2
hiteman,1313,3
wainscott,1083,3
lakeville,279,7
benevolence,604,3
onaga,597,2
mifflinburg,663,4
marstons,1723,3
stockman,1419,1
leonardo,283,10
mifflinburg,355,2
newfields,7,2
pomaria,1207,0
newfields,510,2
pinesdale,820,5
woodbine,1144,8
klickitat,477,5
shelbyville,2434,7
pinesdale,614,6
lakeville,762,0
lakeville,1794,4
lindenwood,2091,3
coffeen,1513,3
wainscott,865,1
tolstoy,441,8
woodbine,88,0
leonardo,185,5
onaga,208,2
hanson,1178,7
newfields,1471,3
klickitat,1291,6
leonardo,1626,7
lindenwood,2314,1
lakeville,935,1
pinesdale,1321,2
woodbine,750,6
hiteman,45,5
marstons,1424,13
marstons,1744,3
leonardo,1562,0
hanson,1563,3
wainscott,837,9
ranchester,197,8
shelbyville,895,13
newfields,795,6
pinesdale,308,6
forkland,362,2
merom,1115,0
newfields,1394,2
newfields,1615,11
ranchester,1120,2
lindenwood,1132,9
lindenwood,901,2
stockman,1183,1
lindenwood,519,8
woodbine,1051,12
mifflinburg,507,0
leonardo,78,2
tolstoy,1034,8
wainscott,1592,0
ranchester,662,1
klickitat,1577,5
klickitat,1808,6
newfields,1654,10
lindenwood,1669,0
stockman,1546,4
klickitat,1873,5
pinesdale,809,2
hiteman,1540,0
coffeen,1166,1
lakeville,1576,13
hiteman,1513,1
klickitat,252,6
beechwood,246,0
forkland,418,0
hanson,957,0
ranchester,1114,4
leonardo,2053,3
leonardo,223,5
lakeville,1759,5
hiteman,380,2
marstons,336,6
pinesdale,242,3
beechwood,1113,0
woodbine,1707,8
leonardo,1869,2
hiteman,628,3
ranchester,1355,2
lindenwood,2232,0
pomaria,709,1
coffeen,150,0
forkland,914,0
hiteman,1854,3
pomaria,120,3
allensville,391,7
lindenwood,1873,4
shelbyville,2091,2
newfields,1494,0
onaga,320,3
ranchester,898,3
hiteman,1083,2
shelbyville,554,1
lakeville,440,0
lindenwood,185,1
wainscott,187,0
mifflinburg,729,10
leonardo,1565,4
pinesdale,418,11
coffeen,970,6
shelbyville,721,3
marstons,1457,2
leonardo,1359,6
wainscott,520,1
ranchester,715,11
leonardo,222,1
allensville,25,4
ranchester,1602,0
hiteman,943,2
leonardo,1718,4
pomaria,617,1
stockman,306,4
woodbine,1604,1
allensville,161,0
pomaria,297,1
coffeen,198,1
coffeen,556,2
ranchester,496,5
allensville,471,0
newfields,1346,4
ranchester,58,1
woodbine,923,5
hiteman,1114,3
allensville,312,10
hanson,809,5
leonardo,1883,9
wainscott,1535,2
hiteman,832,2
leonardo,1850,2
leonardo,765,0
hanson,1050,8
ranchester,1263,6
klickitat,2373,1
shelbyville,1233,1
beechwood,827,1
leonardo,1870,5
beechwood,451,7
newfields,367,3
klickitat,1961,0
woodbine,756,0
wainscott,1409,1
leonardo,1073,3
pinesdale,1466,1
klickitat,1012,5
pinesdale,872,7
lindenwood,1914,2
marstons,2101,13
tolstoy,189,1
shelbyville,2003,8
hiteman,1514,3
lindenwood,1627,2
woodbine,246,1
lakeville,959,0
pomaria,1433,0
beechwood,370,3
stockman,1523,2
marstons,335,0
stockman,41,7
marstons,1230,2
pomaria,171,2
ranchester,93,6
wainscott,1792,1
lakeville,1063,3
newfields,760,4
hanson,1266,0
newfields,734,1
pomaria,1073,4
hiteman,99,10
newfields,931,8
hiteman,1715,1
marstons,2444,15
pinesdale,1329,2
coffeen,1402,6
ranchester,981,9
pinesdale,435,0
klickitat,493,7
marstons,1678,0
marstons,1345,2
shelbyville,2241,3
leonardo,1734,2
lakeville,1459,15
lakeville,1337,0
lindenwood,2105,1
pomaria,145,6
marstons,2110,7
shelbyville,270,7
lindenwood,303,3
lakeville,1252,11
coffeen,1419,5
pomaria,1414,2
shelbyville,1987,3
klickitat,1391,3
lakeville,122,1
leonardo,406,20
woodbine,128,1
shelbyville,355,9
lindenwood,2386,2
beechwood,486,0
lakeville,1058,0
pomaria,1016,6
wainscott,1425,5
hanson,1157,4
shelbyville,2323,10
lindenwood,2012,2
lakeville,1097,3
marstons,265,0
lindenwood,586,2
lindenwood,148,5
shelbyville,2363,5
marstons,470,4
ranchester,1594,1
lindenwood,358,9
marstons,808,3
hanson,980,3
marstons,1244,5
cosmos,21,6
pinesdale,731,4
hiteman,212,4
ranchester,853,5
wainscott,955,6
klickitat,478,6
pinesdale,1013,4
hanson,462,2
hanson,1230,15
wainscott,604,7
lakeville,1377,5
marstons,2068,1
woodbine,1802,2
cosmos,979,2
klickitat,2038,2
pinesdale,1408,7
mifflinburg,53,3
shelbyville,803,0
benevolence,236,5
klickitat,1119,1
pomaria,1179,16
woodbine,1462,5
hanson,513,2
tolstoy,585,6
pinesdale,805,3
shelbyville,2036,10
newfields,1161,1
onaga,255,0
hiteman,477,11
tolstoy,806,3
wainscott,1047,3
newfields,168,1
wainscott,213,2
benevolence,657,0
klickitat,846,2
benevolence,389,8
lakeville,1444,6
stockman,86,1
hanson,661,2
hanson,960,1
klickitat,42,12
pomaria,969,0
